City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,margate,51.3813,1.3862,46.69,81,91,5.99,GB,2023-11-09
118,cova figueira,14.8905,-24.2934,72.48,67,100,12.19,CV,2023-11-09
119,isangel,-19.55,169.2667,70.66,79,97,11.97,VU,2023-11-09
120,arraial do cabo,-22.9661,-42.0278,93.16,37,0,16.11,BR,2023-11-09
121,ribeira grande,38.5167,-28.7,70.2,88,75,21.0,PT,2023-11-09
122,manta,-0.95,-80.7333,85.78,58,20,13.8,EC,2023-11-09
123,kaduna,10.5222,7.4383,81.37,25,63,3.36,NG,2023-11-09
124,afaahiti,-17.75,-149.2833,73.06,86,84,14.92,PF,2023-11-09
125,turbat,26.0023,63.044,77.94,29,0,22.59,PK,2023-11-09
126,labytnangi,66.6572,66.4183,25.36,98,100,5.97,RU,2023-11-09
127,grootfontein,-19.5667,18.1167,87.37,29,66,4.61,NA,2023-11-09
128,fale old settlement,-9.3852,-171.2468,83.3,75,100,8.08,TK,2023-11-09
129,richards bay,-28.783,32.0377,66.79,77,92,2.71,ZA,2023-11-09
130,vernon,50.2581,-119.2691,44.62,92,100,5.75,CA,2023-11-09
131,ziguinchor,12.5833,-16.2719,88.0,55,100,2.3,SN,2023-11-09
132,tabou,4.423,-7.3528,78.06,88,100,7.29,CI,2023-11-09
133,vorgashor,67.5833,63.95,30.34,95,100,14.47,RU,2023-11-09
134,usinsk,65.9939,57.5281,29.16,97,98,14.27,RU,2023-11-09
135,cabo san lucas,22.8909,-109.9124,85.51,65,0,3.44,MX,2023-11-09
136,murzuq,25.9155,13.9184,76.8,20,100,8.39,LY,2023-11-09
137,luton,51.8797,-0.4175,47.08,88,75,12.66,GB,2023-11-09
138,plymouth,41.8334,-70.8328,49.66,92,100,9.22,US,2023-11-09
139,petrozavodsk,61.7849,34.3469,33.51,93,100,5.01,RU,2023-11-09
140,bangassou,4.7413,22.8184,70.92,98,98,0.81,CF,2023-11-09
141,chonchi,-42.6128,-73.8092,54.61,48,53,3.67,CL,2023-11-09
142,brookings,44.3114,-96.7984,45.45,53,75,17.27,US,2023-11-09
143,puerto baquerizo moreno,-0.9,-89.6,77.99,89,75,14.97,EC,2023-11-09
144,johanngeorgenstadt,50.4333,12.7333,45.61,94,100,17.0,DE,2023-11-09
145,laascaanood,8.4774,47.3597,79.74,34,15,8.84,SO,2023-11-09
146,jayapura,-2.5333,140.7,79.99,87,100,5.91,ID,2023-11-09
147,vorkuta,67.5,64.0,31.06,95,100,13.02,RU,2023-11-09
148,port blair,11.6667,92.75,78.84,94,40,2.3,IN,2023-11-09
149,kingston,17.997,-76.7936,92.35,62,20,14.97,JM,2023-11-09
150,hamilton,39.1834,-84.5333,62.44,60,40,11.5,US,2023-11-09
151,howrah,22.5892,88.3103,73.4,83,2,0.0,IN,2023-11-09
152,pisco,-13.7,-76.2167,69.85,78,100,6.91,PE,2023-11-09
153,nizhnyaya tavda,57.6731,66.1725,36.0,97,100,4.9,RU,2023-11-09
154,iqaluit,63.7506,-68.5145,31.73,69,75,9.22,CA,2023-11-09
155,ust-nera,64.5667,143.2,-18.81,98,91,3.85,RU,2023-11-09
156,amarillo,35.222,-101.8313,53.1,48,100,12.66,US,2023-11-09
157,ancud,-41.8697,-73.8203,56.46,57,48,6.15,CL,2023-11-09
158,el granada,37.5027,-122.4694,64.09,68,0,5.75,US,2023-11-09
159,tulun,54.5611,100.5792,2.41,98,17,2.42,RU,2023-11-09
160,ambodifotatra,-16.9833,49.85,79.12,84,21,12.33,MG,2023-11-09
161,mugia,43.1041,-9.2179,55.9,69,100,23.29,ES,2023-11-09
162,sungai penuh,-2.0833,101.3833,65.77,99,100,1.83,ID,2023-11-09
163,paphos,34.7667,32.4167,69.58,73,0,5.75,CY,2023-11-09
164,adra,36.7496,-3.0206,66.0,66,99,5.48,ES,2023-11-09
165,egilsstadir,65.2653,-14.3948,35.51,93,75,6.91,IS,2023-11-09
166,mandleshwar,22.1833,75.6667,75.83,40,0,4.52,IN,2023-11-09
167,el calafate,-50.3408,-72.2768,50.31,54,7,7.78,AR,2023-11-09
168,minas de marcona,-15.2119,-75.1103,68.07,61,40,9.33,PE,2023-11-09
169,arteche,12.2645,125.4048,79.54,87,12,6.58,PH,2023-11-09
170,talnakh,69.4865,88.3972,22.21,91,100,16.44,RU,2023-11-09
171,mata-utu,-13.2816,-176.1745,82.49,82,100,13.4,WF,2023-11-09
172,sirinhaem,-8.5908,-35.1161,83.05,57,3,10.16,BR,2023-11-09
173,carutapera,-1.195,-46.02,84.43,68,85,9.37,BR,2023-11-09
174,labrador city,52.9463,-66.9114,21.11,79,75,11.5,CA,2023-11-09
175,mount pearl,47.5166,-52.7813,43.14,97,100,20.71,CA,2023-11-09
176,kadod,21.2167,73.2333,80.6,42,6,4.16,IN,2023-11-09
177,mezhdurechensk,53.6942,88.0603,11.23,97,53,3.89,RU,2023-11-09
178,quellon,-43.1167,-73.6167,53.8,60,23,10.31,CL,2023-11-09
179,cockburn town,21.4612,-71.1419,85.96,66,40,16.11,TC,2023-11-09
180,bernardo de irigoyen,-26.2552,-53.6458,65.44,100,100,2.44,AR,2023-11-09
181,sydney,-33.8679,151.2073,63.72,90,40,8.05,AU,2023-11-09
182,broken hill,-31.95,141.4333,74.01,33,0,8.39,AU,2023-11-09
183,port mathurin,-19.6833,63.4167,77.04,74,1,14.16,MU,2023-11-09
184,novodvinsk,64.4165,40.8122,21.78,97,97,1.25,RU,2023-11-09
185,betio village,1.358,172.9211,82.44,77,100,5.53,KI,2023-11-09
186,valle de la pascua,9.2155,-66.0073,87.75,58,31,4.23,VE,2023-11-09
187,berezovyy,51.6667,135.7,13.5,97,96,3.83,RU,2023-11-09
188,booneville,34.6582,-88.5667,74.23,76,100,2.59,US,2023-11-09
189,canutama,-6.5339,-64.3831,95.9,40,63,3.76,BR,2023-11-09
190,vadso,70.0744,29.7487,26.76,93,75,17.27,NO,2023-11-09
191,new norfolk,-42.7826,147.0587,57.7,97,18,3.27,AU,2023-11-09
192,colby,39.3958,-101.0524,55.0,33,0,12.66,US,2023-11-09
193,vilyuchinsk,52.9306,158.4028,30.47,85,72,6.26,RU,2023-11-09
194,prince rupert,54.3161,-130.3201,46.09,94,100,12.66,CA,2023-11-09
195,saint-francois,46.4154,3.9054,53.04,78,100,10.36,FR,2023-11-09
196,lanzhou,36.0564,103.7922,44.06,51,38,2.66,CN,2023-11-09
197,st. john's,47.5649,-52.7093,43.99,98,100,17.27,CA,2023-11-09
198,shalqar,47.8333,59.6,46.15,71,46,7.7,KZ,2023-11-09
199,choix,26.7092,-108.3219,84.33,44,73,3.0,MX,2023-11-09
200,mahina,-17.5065,-149.489,74.75,88,26,18.48,PF,2023-11-09
201,touros,-5.1989,-35.4608,84.22,60,0,17.11,BR,2023-11-09
202,igarka,67.4667,86.5833,18.09,90,100,23.94,RU,2023-11-09
203,goundi,9.3627,17.366,85.28,46,95,4.88,TD,2023-11-09
204,badger,64.8,-147.5333,37.31,63,100,12.66,US,2023-11-09
205,grajau,-5.8194,-46.1386,93.6,39,46,7.14,BR,2023-11-09
206,val-d'or,48.1002,-77.7828,26.69,93,100,11.5,CA,2023-11-09
207,yokadouma,3.5167,15.05,72.05,97,100,2.73,CM,2023-11-09
208,mana,5.6592,-53.7767,85.19,64,22,11.1,GF,2023-11-09
209,tromso,69.6496,18.957,33.82,69,75,14.97,NO,2023-11-09
210,alice springs,-23.7,133.8833,69.35,40,87,8.05,AU,2023-11-09
211,kiunga,-6.1219,141.2906,72.0,99,100,2.48,PG,2023-11-09
212,saldanha,-33.0117,17.9442,66.25,82,0,18.37,ZA,2023-11-09
213,okhotsk,59.3833,143.3,-3.44,85,7,13.02,RU,2023-11-09
214,gulf shores,30.246,-87.7008,82.29,54,0,10.36,US,2023-11-09
215,atamyrat,37.8357,65.2106,53.89,41,17,7.29,TM,2023-11-09
216,fortuna,40.5982,-124.1573,50.67,97,0,0.0,US,2023-11-09
217,umatilla,45.5001,-118.5014,39.69,75,0,0.0,US,2023-11-09
218,adam,22.3756,57.5233,81.84,41,80,14.74,OM,2023-11-09
219,nanchang,28.6833,115.8833,63.75,90,99,5.75,CN,2023-11-09
220,klaksvik,62.2266,-6.589,45.52,90,100,24.83,FO,2023-11-09
221,moose jaw,50.4001,-105.5344,28.67,86,100,16.11,CA,2023-11-09
222,lihue,21.9789,-159.3672,78.39,74,75,20.71,US,2023-11-09
223,karratha,-20.7377,116.8463,84.4,45,0,20.74,AU,2023-11-09
224,happy valley-goose bay,53.3168,-60.3315,32.31,64,100,9.22,CA,2023-11-09
225,port lincoln,-34.7333,135.8667,63.59,75,27,8.28,AU,2023-11-09
226,brokopondo,4.75,-55.1667,94.41,36,6,3.89,SR,2023-11-09
227,iskateley,67.6803,53.1512,33.03,100,100,8.99,RU,2023-11-09
228,celestun,20.8667,-90.4,79.34,73,31,11.61,MX,2023-11-09
229,cabugao,17.7931,120.4578,83.8,76,92,5.23,PH,2023-11-09
230,tahe,52.3333,124.7333,12.34,83,100,7.54,CN,2023-11-09
231,ovruch,51.3246,28.8035,44.37,83,85,4.21,UA,2023-11-09
232,flying fish cove,-10.4217,105.6791,78.48,88,75,8.05,CX,2023-11-09
233,bitkine,11.9801,18.2138,88.92,20,34,8.97,TD,2023-11-09
234,victoria falls,-17.9235,25.843,85.23,28,51,5.46,ZW,2023-11-09
235,cardenas,23.0375,-81.2047,83.16,76,45,16.67,CU,2023-11-09
236,weno,7.4515,151.8468,76.95,100,100,10.36,FM,2023-11-09
237,hammerfest,70.6634,23.6821,30.65,74,0,5.75,NO,2023-11-09
238,kudat,6.8837,116.8477,78.73,94,100,3.44,MY,2023-11-09
239,roma,43.2128,-75.4557,51.73,93,100,4.61,US,2023-11-09
240,prince george,53.9166,-122.753,35.62,93,100,5.75,CA,2023-11-09
241,lata,40.1629,-8.3327,58.08,86,96,4.05,PT,2023-11-09
242,plettenberg bay,-34.0527,23.3716,56.52,82,0,3.51,ZA,2023-11-09
243,tarrafal,15.2833,-23.7667,83.19,67,90,13.67,CV,2023-11-09
244,caleta de carquin,-11.0925,-77.6267,71.35,71,62,11.41,PE,2023-11-09
245,saipan,15.1355,145.701,81.3,83,0,6.91,MP,2023-11-09
246,nadym,65.5333,72.5167,25.75,89,100,14.16,RU,2023-11-09
247,kuna,43.4918,-116.4201,46.08,68,0,9.22,US,2023-11-09
248,buta,2.7858,24.73,72.0,99,100,1.81,CD,2023-11-09
249,urangan,-25.3,152.9,69.53,75,0,9.08,AU,2023-11-09
250,khandyga,62.6667,135.6,-24.92,100,94,2.59,RU,2023-11-09
251,yaval,21.1667,75.7,75.69,42,5,5.73,IN,2023-11-09
252,vila franca do campo,37.7167,-25.4333,68.41,99,98,11.3,PT,2023-11-09
253,saint croix,17.7397,-64.7388,86.45,80,20,11.5,VI,2023-11-09
254,bubaque,11.2833,-15.8333,84.27,48,100,5.1,GW,2023-11-09
255,cileungsir,-6.3947,106.9592,85.17,92,40,3.44,ID,2023-11-09
256,fuling,29.7022,107.3919,63.75,91,83,1.77,CN,2023-11-09
257,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,73,20,21.0,RU,2023-11-09
258,gonzaga,44.9498,10.8209,52.68,95,100,8.86,IT,2023-11-09
259,olyokminsk,60.3736,120.4264,-4.7,98,70,4.09,RU,2023-11-09
260,rio grande,-32.035,-52.0986,82.51,44,1,7.96,BR,2023-11-09
261,amahai,-3.3333,128.9167,77.77,88,69,3.11,ID,2023-11-09
262,hadibu,12.65,54.0333,80.49,74,11,11.92,YE,2023-11-09
263,kavaratti,10.5669,72.642,82.72,74,100,6.46,IN,2023-11-09
264,bodaybo,57.8506,114.1933,-8.43,100,95,0.65,RU,2023-11-09
265,al kharj,24.155,47.3346,75.78,27,0,8.7,SA,2023-11-09
266,san andres,12.5847,-81.7006,87.82,79,20,11.5,CO,2023-11-09
267,rethel,49.5,4.3333,48.07,84,93,13.87,FR,2023-11-09
268,sangmelima,2.9333,11.9833,70.77,97,83,3.29,CM,2023-11-09
269,shatsk,54.0258,41.7119,41.67,96,100,19.46,RU,2023-11-09
270,poltavka,54.3663,71.7632,38.73,94,100,7.54,RU,2023-11-09
271,pandan,14.0453,124.1694,83.46,77,17,17.05,PH,2023-11-09
272,la'ie,21.6477,-157.9253,82.36,75,35,8.99,US,2023-11-09
273,tarauaca,-8.1614,-70.7656,94.24,41,98,0.67,BR,2023-11-09
274,madingou,-4.1536,13.55,76.71,94,76,3.27,CG,2023-11-09
275,damasak,13.0977,12.4952,86.11,16,72,7.67,NG,2023-11-09
276,taro,-8.3862,115.28,73.4,95,100,2.66,ID,2023-11-09
277,pitkyaranta,61.5734,31.4792,37.51,98,100,5.28,RU,2023-11-09
278,valdivia,-39.8142,-73.2459,62.69,30,1,2.89,CL,2023-11-09
279,saynshand,44.8824,110.1163,2.07,82,3,4.32,MN,2023-11-09
280,arar,30.9753,41.0381,73.42,21,0,4.61,SA,2023-11-09
281,pangoa,-12.1167,-73.0,71.55,98,100,2.48,PE,2023-11-09
282,tiksi,71.6872,128.8694,-1.17,93,99,10.49,RU,2023-11-09
283,severo-yeniseyskiy,60.3725,93.0408,3.58,96,14,3.0,RU,2023-11-09
284,horta,38.5333,-28.6333,69.44,95,75,21.0,PT,2023-11-09
285,luganville,-15.5333,167.1667,76.91,85,100,13.04,VU,2023-11-09
286,ghadamis,30.1337,9.5007,78.19,16,34,8.1,LY,2023-11-09
287,lazaro cardenas,17.9583,-102.2,85.8,68,36,3.6,MX,2023-11-09
288,nova sintra,14.8667,-24.7167,72.86,65,97,12.77,CV,2023-11-09
289,saint-joseph,-21.3667,55.6167,75.58,80,62,3.87,RE,2023-11-09
290,kerikeri,-35.2268,173.9474,55.83,79,100,5.55,NZ,2023-11-09
291,la passe,45.5549,-0.8967,54.01,76,80,22.86,FR,2023-11-09
